"","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","stateProvince","habitat","cl10902","scientificName","basisOfRecord","kingdom","phylum","class","order","family","taxonRank","dataResourceName"
"1",-35.914500034972,149.054,200,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia spenceri","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"2",-35.9074000349633,149.046,200,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"3",-35.89213,148.9751,5,"Australian Capital Territory","Under rock in dirt","Non Forest","Acritoscincus duperreyi","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"4",-35.89213,148.9751,5,"Australian Capital Territory","Under rock in dirt","Non Forest","Acritoscincus duperreyi","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"5",-35.8914000349436,148.982,200,"Australian Capital Territory","","Non Forest","Pseudechis porphyriacus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"6",-35.89136,148.97722,5,"Australian Capital Territory","under rock","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"7",-35.89136,148.97722,5,"Australian Capital Territory","under rock","Non Forest","Liopholis whitii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"8",-35.8906000349426,148.972,200,"Australian Capital Territory","","Non Forest","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"9",-35.8905000349425,148.98,200,"Australian Capital Territory","","Non Forest","Acritoscincus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","genus","ACT Wildlife Atlas"
"10",-35.8905000349425,148.98,200,"Australian Capital Territory","","Non Forest","Eulamprus tympanum","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"11",-35.8905000349425,148.98,200,"Australian Capital Territory","","Non Forest","Acritoscincus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","genus","ACT Wildlife Atlas"
"12",-35.8896000349414,148.983,200,"Australian Capital Territory","","Eucalypt Medium Open","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"13",-35.8889,148.9764,2000,"Australian Capital Territory","","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"14",-35.8889,148.9764,2000,"Australian Capital Territory","","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"15",-35.8889,148.9764,2000,"Australian Capital Territory","","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"16",-35.8889,148.9764,2000,"Australian Capital Territory","","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"17",-35.8889,148.9764,2000,"Australian Capital Territory","","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"18",-35.8889,148.9764,2000,"Australian Capital Territory","","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"19",-35.88697,148.97132,5,"Australian Capital Territory","on rock","Non Forest","Egernia cunninghami","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"20",-35.88697,148.97132,5,"Australian Capital Territory","on rock","Non Forest","Egernia cunninghami","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"21",-35.88581,148.97357,5,"Australian Capital Territory","on rock","Non Forest","Lampropholis guichenoti","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"22",-35.88581,148.97357,5,"Australian Capital Territory","on rock","Non Forest","Lampropholis guichenoti","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"23",-35.8837000349341,149.012,200,"Australian Capital Territory","","Eucalypt Medium Woodland","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"24",-35.88352,148.97073,5,"Australian Capital Territory","Under rock in dirt","Non Forest","Acritoscincus duperreyi","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"25",-35.88352,148.97073,5,"Australian Capital Territory","Under rock in dirt","Non Forest","Acritoscincus duperreyi","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"26",-35.88352,148.97073,5,"Australian Capital Territory","on rock","Non Forest","Pseudemoia entrecasteauxii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"27",-35.88352,148.97073,5,"Australian Capital Territory","on rock","Non Forest","Acritoscincus platynotus","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"28",-35.88352,148.97073,5,"Australian Capital Territory","on rock","Non Forest","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"29",-35.88352,148.97073,5,"Australian Capital Territory","on rock","Non Forest","Acritoscincus platynotus","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"30",-35.88352,148.97073,5,"Australian Capital Territory","on rock","Non Forest","Pseudemoia entrecasteauxii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"31",-35.88352,148.97073,5,"Australian Capital Territory","on rock","Non Forest","Acritoscincus platynotus","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"32",-35.8817000349317,148.97,200,"Australian Capital Territory","","Non Forest","Egernia cunninghami","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"33",-35.8781000349272,148.966,200,"Australian Capital Territory","","Eucalypt Medium Open","Liopholis whitii","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"34",-35.8781000349272,148.966,200,"Australian Capital Territory","","Eucalypt Medium Open","Egernia cunninghami","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"35",-35.877638,148.964991,61,"Australian Capital Territory","","Other native forest","Tiliqua nigrolutea","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","iNaturalist Australia"
"36",-35.8756000349241,149.064,200,"Australian Capital Territory","","Eucalypt Medium Open","Acritoscincus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","genus","ACT Wildlife Atlas"
"37",-35.8756000349241,149.064,200,"Australian Capital Territory","","Eucalypt Medium Open","Egernia saxatilis","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"38",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Liopholis whitii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"39",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Liopholis whitii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"40",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Liopholis whitii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"41",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Liopholis whitii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"42",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"43",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Hemiergis","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","genus","Australian National Wildlife Collection provider for OZCAM"
"44",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Hemiergis","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","genus","Australian National Wildlife Collection provider for OZCAM"
"45",-35.87525,148.98579,5,"Australian Capital Territory","Under rock","Non Forest","Liopholis whitii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"46",-35.8751000349235,148.986,200,"Australian Capital Territory","","Non Forest","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"47",-35.8742000349224,148.986,200,"Australian Capital Territory","","Eucalypt Medium Open","Hemiergis decresiensis","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"48",-35.8737000349218,148.962,200,"Australian Capital Territory","","Non Forest","Acritoscincus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","genus","ACT Wildlife Atlas"
"49",-35.8737000349218,148.962,200,"Australian Capital Territory","","Non Forest","Lampropholis guichenoti","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"50",-35.870600034918,148.987,200,"Australian Capital Territory","","Eucalypt Medium Open","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"51",-35.870600034918,148.987,200,"Australian Capital Territory","","Eucalypt Medium Open","Austrelaps ramsayi","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"52",-35.8701000349174,149.014,200,"Australian Capital Territory","","Eucalypt Medium Woodland","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"53",-35.8687000349156,148.989,200,"Australian Capital Territory","","Eucalypt Medium Open","Austrelaps ramsayi","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"54",-35.8684000349153,149.012,200,"Australian Capital Territory","","Non Forest","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"55",-35.8667,149.0083,2000,"Australian Capital Territory","","Non Forest","Drysdalia coronoides","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","Australian National Wildlife Collection provider for OZCAM"
"56",-35.866600034913,149.01,200,"Australian Capital Territory","","Non Forest","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"57",-35.86526,149.010616,193,"Australian Capital Territory","","Non Forest","Lampropholis delicata","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","iNaturalist Australia"
"58",-35.8642000349101,148.993,200,"Australian Capital Territory","","Eucalypt Medium Open","Tiliqua nigrolutea","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
